task name,random seed,sample count,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,time epoch 1,time epoch 2,time epoch 3,time epoch 4,time epoch 5,time epoch 6,time epoch 7,time epoch 8,time epoch 9,time epoch 10
sort_list_indices_length2_mnist,3177,50,0.864,0.898,0.912,0.908,0.924,0.922,0.95,0.938,0.95,0.95,58.3934,52.3454,52.7948,52.2707,50.3713,51.495,52.1172,53.9144,52.0078,51.3834
sort_list_indices_length2_mnist,5848,50,0.844,0.906,0.932,0.932,0.938,0.934,0.942,0.948,0.958,0.944,49.9244,47.3064,52.4853,52.452,52.6817,52.496,53.193,54.2727,51.7434,52.5915
sort_list_indices_length2_mnist,9175,50,0.85,0.918,0.93,0.878,0.908,0.836,0.926,0.922,0.904,0.922,50.1619,52.3316,51.8263,52.8798,51.9429,51.9024,52.1128,55.8639,52.9676,48.3152
sort_list_indices_length2_mnist,8725,50,0.886,0.92,0.956,0.974,0.976,0.972,0.982,0.982,0.982,0.98,52.9986,51.8205,47.2473,50.2797,52.3655,51.7761,48.0248,51.3889,52.1008,51.8854
sort_list_indices_length2_mnist,1234,50,0.874,0.936,0.94,0.944,0.962,0.964,0.962,0.966,0.962,0.962,49.4832,52.5058,52.4683,53.8113,52.1364,53.7342,54.9024,55.8111,47.8,48.3454
sort_list_indices_length2_mnist,3177,100,0.876,0.906,0.932,0.938,0.926,0.956,0.956,0.954,0.956,0.958,96.6772,100.2536,96.7832,92.6231,92.1496,93.5531,99.1748,90.3314,92.65,90.2452
sort_list_indices_length2_mnist,5848,100,0.872,0.928,0.934,0.95,0.952,0.942,0.942,0.952,0.96,0.952,94.0094,93.0715,92.7565,90.5429,89.5107,93.0918,91.6465,92.0388,90.7732,90.9715
sort_list_indices_length2_mnist,9175,100,0.88,0.944,0.948,0.946,0.94,0.948,0.94,0.948,0.954,0.952,97.5758,92.7804,95.6479,91.4996,91.3414,90.3718,89.9701,89.7484,90.1134,89.9172
sort_list_indices_length2_mnist,8725,100,0.88,0.912,0.932,0.952,0.966,0.966,0.956,0.97,0.954,0.96,93.7598,94.6613,92.174,89.0884,89.2804,96.0866,91.3353,90.6375,89.7731,89.3559
sort_list_indices_length2_mnist,1234,100,0.886,0.942,0.942,0.952,0.96,0.966,0.964,0.966,0.97,0.96,99.1453,92.7154,90.9993,90.1663,90.0539,90.3827,89.9543,90.117,89.9716,90.0643
